Company,County,State,Lat/Long,lon,lat,Source,Notes,SQFT
Google,Berkeley County,South Carolina,"33.073392,-80.038571",-80.038571,33.073392,Google Maps,,"476,765"
Google,Council Bluffs,Iowa,"41.220873,-95.863953",-95.863953,41.220873,Google Maps,,"115,000"
Google,Douglas County,Georgia,"33.689782,-84.7445955",-84.7445955,33.689782,Google Maps,"Exact address not determined, county lat/long from Google Maps used","500,000"
Google,Mayes County,Oklahoma,"36.241307,-95.330075",-95.330075,36.241307,Google Maps,,"1,000,000"
Google,Lenoir County,North Carolina,"35.898359,-81.5474355",-81.5474355,35.898359,Google Maps,,"476,765"
Google,The Dalles,Oregon,"45.6304076,-121.2005248",-121.2005248,45.630407,Google Maps,,"370,040"
Microsoft,Boydton,Virginia,"36.677644,-78.374852",-78.374852,36.677644,Microsoft Website,East US 2/US Gov Virginia,"316,000"
Microsoft,West Des Moines,Iowa,"41.5489655,-93.773111",-93.773111,41.548965,Microsoft Website and http://www.datacenterdynamics.com/focus/archive/2014/04/microsoft-build-us11bn-iowa-data-center,,"1,160,000"
Microsoft,Santa Clara,California,"37.3608694,-121.9482018",-121.9482018,37.360869,Microsoft Website,West US,"300,000"
Microsoft,Quincy,Washington,"47.232772,-119.866932",-119.866932,47.232772,Microsoft website and http://www.techhive.com/article/2014323/infographic-where-your-cloud-data-really-lives.html,,"470,000"
Microsoft,Northlake,Illinois,"41.918258,-87.9009634",-87.9009634,41.918258,Microsoft website and http://www.techhive.com/article/2014323/infographic-where-your-cloud-data-really-lives.html,,"700,000"
Microsoft,San Antonio,Texas,"30.391434, -98.701541",-98.701541,30.391434,Microsoft website and http://www.techhive.com/article/2014323/infographic-where-your-cloud-data-really-lives.html,,"470,000"
Microsoft,Reston,Virginia,"36.6774805,-78.374086",-78.374086,36.677480,Microsoft website and http://www.techhive.com/article/2014323/infographic-where-your-cloud-data-really-lives.html,,"233,000"
Equinix,Dallas,Texas,"32.8003398,-96.8194987",-96.8194987,32.800339,,DA1,"30,355"
Equinix,Dallas,Texas,"32.8003398,-96.8194987",-96.8194987,32.800339,,DA2,"33,550"
Equinix,Dallas,Texas,"32.8007409,-96.8192052",-96.8192052,32.800740,,DA3,"72,597"
Equinix,Dallas,Texas,"32.7872199,-96.7943494",-96.7943494,32.787219,,DA4,"17,164"
Equinix,Dallas,Texas,"32.8003398,-96.8194987",-96.8194987,32.800339,,DA6,"60,000"
Equinix,Englewood,Colorado,"39.587392,-104.876307",-104.876307,39.587392,,DE1,"15,000"
Equinix,Los Angeles,California,"34.0473958,-118.2573914",-118.2573914,34.047395,,LA1,"215,000"
Equinix,Los Angeles,California,"34.0488098,-118.2594573",-118.2594573,34.048809,,LA2,"13,819"
Equinix,El Segundo,California,"33.926077,-118.394123",-118.394123,33.926077,,LA3 El Segundo,"107,000"
Equinix,El Segundo,California,"33.9216744,-118.3838657",-118.3838657,33.921674,,LA4 El Segundo,"177,000"
Equinix,Miami,Florida,"25.775811,-80.192958",-80.192958,25.775811,,MI2,"16,000"
Equinix,Boca Raton,Florida,"26.3879713,-80.1083542",-80.1083542,26.387971,,MI3 Boca Raton,"31,300"
Equinix,Newark,New Jersey,"40.7368442,-74.1734023",-74.1734023,40.736844,,NY1- Newark,"46,465"
